brand_en,brand_ar,ingredients,strength,form,pack_size,manufacturer,categories,drug_class,use_en,fridge,controlled,confidence,source
Ozempic,اوزمبك,semaglutide,1 mg,injection,,Novo Nordisk,antidiabetic,GLP-1 receptor agonist,"lowers blood sugar, weight loss",yes,no,high,https://dwaprices.com/med.php?id=13583
Trulicity,تروليسيتي,dulaglutide,0.75 mg/0.5 mL,injection,4 pre-filled pens,Eli Lilly,antidiabetic,GLP-1 receptor agonist,"lowers blood sugar, weight loss",yes,no,high,https://dwaprices.com/med.php?id=28586
Trulicity,تروليسيتي,dulaglutide,1.5 mg/0.5 mL,injection,4 pre-filled pens,Eli Lilly,antidiabetic,GLP-1 receptor agonist,"lowers blood sugar, weight loss",yes,no,high,https://dwaprices.com/med.php?id=28587
Lantus,لانتوس,insulin glargine,100 IU/mL,injection,5 cartridges,Sanofi,antidiabetic,long-acting insulin analogue,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/med.php?id=7099
Lantus SoloStar,لانتوس سولوستار,insulin glargine,100 IU/mL,injection,5 pre-filled pens,Sanofi,antidiabetic,long-acting insulin analogue,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/med.php?id=7101
Toujeo SoloStar,توجيو سولوستار,insulin glargine,300 IU/mL,injection,5 pre-filled pens,Sanofi,antidiabetic,long-acting insulin analogue,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/med.php?id=33781
Tresiba FlexTouch,تريسيبا فليكستاتش,insulin degludec,100 IU/mL,injection,,Novo Nordisk,antidiabetic,ultra-long-acting insulin analogue,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/similars.php?id=28437
Levemir,ليفيمير,insulin detemir,100 IU/mL,injection,,Novo Nordisk,antidiabetic,long-acting insulin analogue,controls blood sugar (diabetes),yes,no,medium,
NovoRapid FlexPen,نوفورابيد فليكسبن,insulin aspart,100 IU/mL,injection,5 pre-filled pens,Novo Nordisk,antidiabetic,rapid-acting insulin analogue,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/similars.php?id=23814
NovoMix 30,نوفوميكس 30,insulin aspart;insulin aspart protamine,100 IU/mL,injection,5 pre-filled pens,Novo Nordisk,antidiabetic,premixed insulin analogue,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/med.php?id=23803
Humalog Mix25 KwikPen,هيومالوج ميكس 25 كويك بن,insulin lispro;insulin lispro protamine,100 IU/mL,injection,5 pre-filled pens,Eli Lilly,antidiabetic,premixed insulin analogue,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/similars.php?id=20554
Humulin 70/30,هيومولين 70/30,insulin regular human;insulin isophane human,100 IU/mL,injection,5 cartridges,Eli Lilly,antidiabetic,premixed human insulin,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/similars.php?id=20567
Mixtard 30 HM,ميكستارد 30 اتش ام,insulin regular human;insulin isophane human,100 IU/mL,injection,10 mL vial,Novo Nordisk,antidiabetic,premixed human insulin,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/similars.php?id=8249
Actrapid HM,اكترابيد اتش ام,insulin regular human,100 IU/mL,injection,,Novo Nordisk,antidiabetic,short-acting human insulin,controls blood sugar (diabetes),yes,no,medium,
Insulatard HM,انسولاتارد اتش ام,insulin isophane human,100 IU/mL,injection,,Novo Nordisk,antidiabetic,intermediate-acting human insulin,controls blood sugar (diabetes),yes,no,medium,
InsulinAgypt 70/30,انسولين اجيبت 70/30,insulin regular human;insulin isophane human,100 IU/mL,injection,5 cartridges,MUP,antidiabetic,premixed human insulin,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/med.php?id=6502
InsulinAgypt 70/30,انسولين اجيبت 70/30,insulin regular human;insulin isophane human,100 IU/mL,injection,10 mL vial,MUP,antidiabetic,premixed human insulin,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/med.php?id=20866
Glargivin,جلارجيفين,insulin glargine,100 IU/mL,injection,5 cartridges,Eva Pharma,antidiabetic,long-acting insulin analogue,controls blood sugar (diabetes),yes,no,high,https://dwaprices.com/med.php?id=1909
Eltroxin,التروكسين,levothyroxine,50 mcg,tablet,100 tablets,GSK,endocrine,thyroid hormone replacement,treats underactive thyroid,no,no,high,https://dwaprices.com/med.php?id=4100
Eltroxin,التروكسين,levothyroxine,100 mcg,tablet,100 tablets,GSK,endocrine,thyroid hormone replacement,treats underactive thyroid,no,no,high,https://dwaprices.com/med.php?id=4098
Euthyrox,يوثيروكس,levothyroxine,25 mcg,tablet,100 tablets,Merck,endocrine,thyroid hormone replacement,treats underactive thyroid,no,no,high,https://dwaprices.com/indications.php?id=18659
Thyroxine,ثيروكسين,levothyroxine,50 mcg,tablet,100 tablets,,endocrine,thyroid hormone replacement,treats underactive thyroid,no,no,high,https://dwaprices.com/med.php?id=28165
Thyroxine,ثيروكسين,levothyroxine,100 mcg,tablet,100 tablets,,endocrine,thyroid hormone replacement,treats underactive thyroid,no,no,high,https://dwaprices.com/med.php?id=11401
Neomercazole,نيوميركازول,carbimazole,5 mg,tablet,100 tablets,Cenexi,endocrine,antithyroid (thionamide),treats overactive thyroid,no,no,medium,
Carbimazole,كاربيمازول,carbimazole,5 mg,film-coated tablet,50 tablets,,endocrine,antithyroid (thionamide),treats overactive thyroid,no,no,high,https://dwaprices.com/med.php?id=2039
Thyrocarbin,ثيروكاربين,carbimazole,20 mg,tablet,100 tablets,,endocrine,antithyroid (thionamide),treats overactive thyroid,no,no,high,https://dwaprices.com/med.php?id=2275
Solupred Oro,سوليبريد اورو,prednisolone,20 mg,orally disintegrating tablet,20 tablets,Sanofi,corticosteroid,corticosteroid (glucocorticoid),reduces inflammation and allergy,no,no,high,https://dwaprices.com/med.php?id=10677
Medrol,ميدرول,methylprednisolone,4 mg,tablet,,Pfizer,corticosteroid,corticosteroid (glucocorticoid),reduces inflammation and allergy,no,no,medium,
Medrol,ميدرول,methylprednisolone,16 mg,tablet,,Pfizer,corticosteroid,corticosteroid (glucocorticoid),reduces inflammation and allergy,no,no,medium,
Solu-Medrol,سولو-ميدرول,methylprednisolone,1 g,injection,1 vial,Pfizer,corticosteroid,corticosteroid (glucocorticoid),reduces inflammation and allergy,no,no,medium,
Fortecortin,فورتيكورتين,dexamethasone,8 mg/2 mL,injection,3 ampoules,Merck,corticosteroid,corticosteroid (glucocorticoid),reduces inflammation and allergy,no,no,high,https://dwaprices.com/similars.php?id=5109
Diprofos,ديبروفوس,betamethasone dipropionate;betamethasone sodium phosphate,5/2 mg/mL,injection,1 ampoule,Schering-Plough,corticosteroid,corticosteroid (glucocorticoid) depot injection,reduces inflammation and allergy,no,no,high,https://dwaprices.com/med.php?id=17704
Diprocortin,ديبروكورتين,betamethasone dipropionate;betamethasone sodium phosphate,5/2 mg/mL,injection,1 ampoule,,corticosteroid,corticosteroid (glucocorticoid) depot injection,reduces inflammation and allergy,no,no,high,https://dwaprices.com/med.php?id=17703
Betafos,بيتافوس,betamethasone dipropionate;betamethasone sodium phosphate,5/2 mg/mL,injection,1 ampoule,,corticosteroid,corticosteroid (glucocorticoid) depot injection,reduces inflammation and allergy,no,no,high,https://dwaprices.com/med.php?id=1440
Solu-Cortef,سولو-كورتيف,hydrocortisone,100 mg,injection,1 vial,Pfizer,corticosteroid,corticosteroid (glucocorticoid),reduces inflammation and allergy,no,no,medium,
Fosamax,فوساماكس,alendronate,70 mg,tablet,2 tablets,MSD,endocrine,bisphosphonate,treats osteoporosis (bone thinning),no,no,high,https://dwaprices.com/med.php?id=5119
Bonapex,بونابكس,alendronate,70 mg,tablet,4 tablets,,endocrine,bisphosphonate,treats osteoporosis (bone thinning),no,no,high,https://dwaprices.com/med.php?id=1655
Bonapex,بونابكس,alendronate,10 mg,tablet,30 tablets,,endocrine,bisphosphonate,treats osteoporosis (bone thinning),no,no,high,https://dwaprices.com/similars.php?id=1652
Alendomax,الندوماكس,alendronate,70 mg,tablet,4 tablets,,endocrine,bisphosphonate,treats osteoporosis (bone thinning),no,no,high,https://dwaprices.com/med.php?id=13667
Ibandrocare,ايباندروكير,ibandronate,150 mg,tablet,,,endocrine,bisphosphonate,treats osteoporosis (bone thinning),no,no,medium,
Dostinex,دوستينكس,cabergoline,0.5 mg,tablet,2 tablets,Pfizer,endocrine,dopamine agonist,lowers prolactin hormone levels,no,no,high,https://dwaprices.com/med.php?id=3857
Cabergamoun,كابرجامون,cabergoline,0.5 mg,tablet,2 tablets,,endocrine,dopamine agonist,lowers prolactin hormone levels,no,no,high,https://dwaprices.com/composition.php?id=1832
Cabrostinex,كابروستينيكس,cabergoline,0.5 mg,tablet,2 tablets,,endocrine,dopamine agonist,lowers prolactin hormone levels,no,no,high,https://dwaprices.com/med.php?id=15599
Remigoline,ريميجولين,cabergoline,0.5 mg,tablet,2 tablets,,endocrine,dopamine agonist,lowers prolactin hormone levels,no,no,high,https://dwaprices.com/med.php?id=25855
Parlodel,بارلوديل,bromocriptine,2.5 mg,tablet,20 tablets,,endocrine,dopamine agonist,lowers prolactin hormone levels,no,no,high,https://dwaprices.com/similars.php?id=24587
Sustanon,سوستانون,testosterone,250 mg,injection,1 ampoule,,endocrine,androgen (testosterone replacement),testosterone replacement therapy (men),no,no,high,https://dwaprices.com/med.php?id=11073
Andriol,اندريول,testosterone,40 mg,capsule,20 capsules,MSD,endocrine,androgen (testosterone replacement),testosterone replacement therapy (men),no,no,medium,
Nebido,نبيدو,testosterone,1000 mg/4 mL,injection,1 vial,Bayer,endocrine,androgen (testosterone replacement),testosterone replacement therapy (men),no,no,high,https://dwaprices.com/med.php?id=23338
Minirin,مينيرين,desmopressin,0.1 mg,tablet,30 tablets,Ferring,endocrine,vasopressin analogue,"reduces urination, diabetes insipidus",no,no,high,https://dwaprices.com/med.php?id=8201
Minirin,مينيرين,desmopressin,0.2 mg,tablet,30 tablets,Ferring,endocrine,vasopressin analogue,"reduces urination, diabetes insipidus",no,no,high,https://dwaprices.com/med.php?id=8202
Minirin Melt,مينيرين ميلت,desmopressin,60 mcg,sublingual tablet,30 tablets,Ferring,endocrine,vasopressin analogue,"reduces urination, diabetes insipidus",no,no,high,https://dwaprices.com/med.php?id=22790
Minirin Melt,مينيرين ميلت,desmopressin,120 mcg,sublingual tablet,30 tablets,Ferring,endocrine,vasopressin analogue,"reduces urination, diabetes insipidus",no,no,high,https://dwaprices.com/med.php?id=22789
Minirin,مينيرين,desmopressin,10 mcg/dose,nasal spray,,Ferring,endocrine,vasopressin analogue,"reduces urination, diabetes insipidus",no,no,high,https://dwaprices.com/med.php?id=22787
